words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,Sentence,RemovalType,WordsKept,WordsRemoved,ListNumber,Code
The cow gave birth to the brown calf in the barn.,81,HC,The,cow,gave,birth,to,the,brown,calf,in,the,barn.,,,,,,157,calf,8,The cow gave birth to the brown calf,2,8,3,2,HC81R2
The cheerful woman hurried over to set up camp after the storm lifted.,85,MC,The,cheerful,woman,hurried,over,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9,The cheerful woman hurried over to set up,1,8,5,2,MC85R1
"On Halloween, the costumed children grabbed several pieces of candy with nuts.",87,HC,On,"Halloween,",the,costumed,children,grabbed,several,pieces,of,candy,with,nuts.,,,,,158,candy,10,"On Halloween, the costumed children grabbed several pieces of candy with",3,11,1,2,HC87R3
Johnathan told the banker that he'd lost his card once again.,91,MC,Johnathan,told,the,banker,that,he'd,lost,his,card,once,again.,,,,,,107,card,9,Johnathan told the banker that he'd lost his card,2,9,2,2,MC91R2
In the door of his refrigerator he found a carrot that looked wilted.,95,LC,In,the,door,of,his,refrigerator,he,found,a,carrot,that,looked,wilted.,,,,55,carrot,10,In the door of his refrigerator he found a,1,9,4,2,LC95R1
The grocery store employee had to retrieve the cart near the tall shelves.,97,MC,The,grocery,store,employee,had,to,retrieve,the,cart,near,the,tall,shelves.,,,,30,cart,9,The grocery store employee had to retrieve the cart near,3,10,3,2,MC97R3
The police knew that there were people living in the cave in the woods.,101,LC,The,police,knew,that,there,were,people,living,in,the,cave,in,the,woods.,,,79,cave,11,The police knew that there were people living in the cave,2,11,3,2,LC101R2
DNA is housed within the nucleus of a cell in a living organism.,102,HC,DNA,is,housed,within,the,nucleus,of,a,cell,in,a,living,organism.,,,,144,cell,9,DNA is housed within the nucleus of a,1,8,5,2,HC102R1
"While searching around in the garage, the man found a piece of chalk at home.",107,LC,While,searching,around,in,the,"garage,",the,man,found,a,piece,of,chalk,at,home.,,196,chalk,13,"While searching around in the garage, the man found a piece of chalk at",3,14,1,2,LC107R3
The checkmate abruptly ended their game of chess at Victor's house.,108,HC,The,checkmate,abruptly,ended,their,game,of,chess,at,Victor's,house.,,,,,,213,chess,8,The checkmate abruptly ended their game of chess,2,8,3,2,HC108R2
The firefighter noticed there was smoke coming out of the chimney of the house.,112,MC,The,firefighter,noticed,there,was,smoke,coming,out,of,the,chimney,of,the,house.,,,106,chimney,11,The firefighter noticed there was smoke coming out of the,1,10,4,2,MC112R1
The soprano auditioned for the church choir in the evening.,114,HC,The,soprano,auditioned,for,the,church,choir,in,the,evening.,,,,,,,194,choir,7,The soprano auditioned for the church choir in,3,8,2,2,HC114R3
The girl decided to arrange her dolls in a circle on the rug.,118,MC,The,girl,decided,to,arrange,her,dolls,in,a,circle,on,the,rug.,,,,47,circle,10,The girl decided to arrange her dolls in a circle,2,10,3,2,MC118R2
"After their trip, they replaced the battery in the old clock on the wall.",122,LC,After,their,"trip,",they,replaced,the,battery,in,the,old,clock,on,the,wall.,,,35,clock,11,"After their trip, they replaced the battery in the old",1,10,4,2,LC122R1
The caterpillar was trying its best to escape from the cocoon made of silk.,124,MC,The,caterpillar,was,trying,its,best,to,escape,from,the,cocoon,made,of,silk.,,,25,cocoon,11,The caterpillar was trying its best to escape from the cocoon made,3,12,2,2,MC124R3
Melissa has difficulty when she's picking a type of coffee at the restaurant.,128,LC,Melissa,has,difficulty,when,she's,picking,a,type,of,coffee,at,the,restaurant.,,,,123,coffee,10,Melissa has difficulty when she's picking a type of coffee,2,10,3,2,LC128R2
We had to guess heads or tails when the referee flipped the coin in Dallas.,129,HC,We,had,to,guess,heads,or,tails,when,the,referee,flipped,the,coin,in,Dallas.,,190,coin,13,We had to guess heads or tails when the referee flipped the,1,12,3,2,HC129R1
The boyscout always carried a first-aid kit and a compass in his bag.,134,LC,The,boyscout,always,carried,a,first-aid,kit,and,a,compass,in,his,bag.,,,,173,compass,10,The boyscout always carried a first-aid kit and a compass in,3,11,2,2,LC134R3
Lauren turned on the TV and flopped down on the couch in the den.,135,HC,Lauren,turned,on,the,TV,and,flopped,down,on,the,couch,in,the,den.,,,5,couch,11,Lauren turned on the TV and flopped down on the couch,2,11,3,2,HC135R2
Susan was angry at Eric and took him to court On Tuesday.,139,MC,Susan,was,angry,at,Eric,and,took,him,to,court,On,Tuesday.,,,,,203,court,10,Susan was angry at Eric and took him to,1,9,3,2,MC139R1
Jesus was crucified on a large wooden cross made of oak.,141,HC,Jesus,was,crucified,on,a,large,wooden,cross,made,of,oak.,,,,,,169,cross,8,Jesus was crucified on a large wooden cross made,3,9,2,2,HC141R3
"On the king's nightstand, the men saw a golden crown with bright jewels.",145,MC,On,the,king's,"nightstand,",the,men,saw,a,golden,crown,with,bright,jewels.,,,,209,crown,10,"On the king's nightstand, the men saw a golden crown",2,10,3,2,MC145R2
We heard that the remote island has no known cure for it.,149,LC,We,heard,that,the,remote,island,has,no,known,cure,for,it.,,,,,14,cure,10,We heard that the remote island has no known,1,9,3,2,LC149R1
"Somehow, farmers were able to grow crops in the desert in Algeria.",151,MC,"Somehow,",farmers,were,able,to,grow,crops,in,the,desert,in,Algeria.,,,,,99,desert,10,"Somehow, farmers were able to grow crops in the desert in",3,11,1,2,MC151R3
"When I came home yesterday, I saw that Victor was fixing his desk near the window.",155,LC,When,I,came,home,"yesterday,",I,saw,that,Victor,was,fixing,his,desk,near,the,window.,97,desk,13,"When I came home yesterday, I saw that Victor was fixing his desk",2,13,3,2,LC155R2
"To prevent a mess, the caregiver checked the baby's diaper for accidents.",156,HC,To,prevent,a,"mess,",the,caregiver,checked,the,baby's,diaper,for,accidents.,,,,,177,diaper,10,"To prevent a mess, the caregiver checked the baby's",1,9,3,2,HC156R1
"While cleaning out the cluttered closet, Helen found both of the dice last night.",161,LC,While,cleaning,out,the,cluttered,"closet,",Helen,found,both,of,the,dice,last,night.,,,126,dice,12,"While cleaning out the cluttered closet, Helen found both of the dice last",3,13,1,2,LC161R3
My medical records are accessible to the nurse and the doctor at the clinic.,162,HC,My,medical,records,are,accessible,to,the,nurse,and,the,doctor,at,the,clinic.,,,133,doctor,11,My medical records are accessible to the nurse and the doctor,2,11,3,2,HC162R2
"Perched up on the powerline he saw a small, white dove with outstretched wings.",166,MC,Perched,up,on,the,powerline,he,saw,a,"small,",white,dove,with,outstretched,wings.,,,180,dove,11,"Perched up on the powerline he saw a small, white",1,10,4,2,MC166R1
Maria thought she looked great in her little black dress with sequins.,168,HC,Maria,thought,she,looked,great,in,her,little,black,dress,with,sequins.,,,,,128,dress,10,Maria thought she looked great in her little black dress with,3,11,1,2,HC168R3
"At the restaurant, he didn't want anything to drink at the bar.",172,MC,At,the,"restaurant,",he,didn't,want,anything,to,drink,at,the,bar.,,,,,153,drink,9,"At the restaurant, he didn't want anything to drink",2,9,3,2,MC172R2
They started filming a documentary about last year's drought in California.,176,LC,They,started,filming,a,documentary,about,last,year's,drought,in,California.,,,,,,8,drought,9,They started filming a documentary about last year's,1,8,3,2,LC176R1
The farmer was waiting for the field to dry behind the barn.,178,MC,The,farmer,was,waiting,for,the,field,to,dry,behind,the,barn.,,,,,96,dry,9,The farmer was waiting for the field to dry behind,3,10,2,2,MC178R3
"My cousin was bored, and she had nothing to eat while she waited.",182,LC,My,cousin,was,"bored,",and,she,had,nothing,to,eat,while,she,waited.,,,,36,eat,10,"My cousin was bored, and she had nothing to eat",2,10,3,2,LC182R2
The hen was going to lay some more eggs after sunrise.,183,HC,The,hen,was,going,to,lay,some,more,eggs,after,sunrise.,,,,,,147,eggs,9,The hen was going to lay some more,1,8,3,2,HC183R1
My roommate needed to learn more about the election that was weeks away.,188,LC,My,roommate,needed,to,learn,more,about,the,election,that,was,weeks,away.,,,,83,election,9,My roommate needed to learn more about the election that,3,10,3,2,LC188R3
"In Santa's workshop, the toys are made by the elves on Christmas Eve.",189,HC,In,Santa's,"workshop,",the,toys,are,made,by,the,elves,on,Christmas,Eve.,,,,197,elves,10,"In Santa's workshop, the toys are made by the elves",2,10,3,2,HC189R2
"During the checkup, the doctor looked carefully into her eyes which were bright blue.",193,MC,During,the,"checkup,",the,doctor,looked,carefully,into,her,eyes,which,were,bright,blue.,,,10,eyes,10,"During the checkup, the doctor looked carefully into her",1,9,5,2,MC193R1
Old McDonald had plenty of animals on his farm in Pennsylvania.,195,HC,Old,McDonald,had,plenty,of,animals,on,his,farm,in,Pennsylvania.,,,,,,66,farm,9,Old McDonald had plenty of animals on his farm in,3,10,1,2,HC195R3
"After returning home from the big city, Jim became a farmer in his hometown.",199,MC,After,returning,home,from,the,big,"city,",Jim,became,a,farmer,in,his,hometown.,,,149,farmer,11,"After returning home from the big city, Jim became a farmer",2,11,3,2,MC199R2
After the party the butler cleaned the floor because the boss insisted.,203,LC,After,the,party,the,butler,cleaned,the,floor,because,the,boss,insisted.,,,,,32,floor,8,After the party the butler cleaned the,1,7,5,2,LC203R1
The chef dumped out the measuring cup that was filled with flour from the store.,205,MC,The,chef,dumped,out,the,measuring,cup,that,was,filled,with,flour,from,the,store.,,146,flour,12,The chef dumped out the measuring cup that was filled with flour from,3,13,2,2,MC205R3
Charlotte finished reading a book about a rare kind of flower according to Alan.,209,LC,Charlotte,finished,reading,a,book,about,a,rare,kind,of,flower,according,to,Alan.,,,185,flower,11,Charlotte finished reading a book about a rare kind of flower,2,11,3,2,LC209R2
"After the goose injured its wing, it could no longer fly or move around.",210,HC,After,the,goose,injured,its,"wing,",it,could,no,longer,fly,or,move,around.,,,172,fly,11,"After the goose injured its wing, it could no longer",1,10,4,2,HC210R1
Brenda had a change of heart and decided to switch the font of the magazine.,215,LC,Brenda,had,a,change,of,heart,and,decided,to,switch,the,font,of,the,magazine.,,181,font,12,Brenda had a change of heart and decided to switch the font of,3,13,2,2,LC215R3
"To display the beautiful photo, she ordered an elegant frame made of silver.",216,HC,To,display,the,beautiful,"photo,",she,ordered,an,elegant,frame,made,of,silver.,,,,150,frame,10,"To display the beautiful photo, she ordered an elegant frame",2,10,3,2,HC216R2
The farmers were selling a lot of fruit as well.,220,MC,The,farmers,were,selling,a,lot,of,fruit,as,well.,,,,,,,178,fruit,8,The farmers were selling a lot of,1,7,3,2,MC220R1
Gasoline usually costs about three dollars for a gallon in Virginia.,222,HC,Gasoline,usually,costs,about,three,dollars,for,a,gallon,in,Virginia.,,,,,,122,gallon,9,Gasoline usually costs about three dollars for a gallon in,3,10,1,2,HC222R3
She looks very different when she has to wear glasses in class.,226,MC,She,looks,very,different,when,she,has,to,wear,glasses,in,class.,,,,,44,glasses,10,She looks very different when she has to wear glasses,2,10,2,2,MC226R2
The child carried the black rubber gloves in the hospital.,230,LC,The,child,carried,the,black,rubber,gloves,in,the,hospital.,,,,,,,143,gloves,7,The child carried the black rubber,1,6,4,2,LC230R1
"Their team never won, because they never got a goal during the game.",232,MC,Their,team,never,"won,",because,they,never,got,a,goal,during,the,game.,,,,137,goal,10,"Their team never won, because they never got a goal during",3,11,2,2,MC232R3
"Brazil is known to import lots of lumber, livestock, and gold from India.",236,LC,Brazil,is,known,to,import,lots,of,"lumber,","livestock,",and,gold,from,India.,,,,215,gold,11,"Brazil is known to import lots of lumber, livestock, and gold",2,11,2,2,LC236R2
"Before eating dinner, the family held hands to say grace around the table.",237,HC,Before,eating,"dinner,",the,family,held,hands,to,say,grace,around,the,table.,,,,114,grace,10,"Before eating dinner, the family held hands to say",1,9,4,2,HC237R1
The restaurant was famous for making a delicious gravy that tastes great.,242,LC,The,restaurant,was,famous,for,making,a,delicious,gravy,that,tastes,great.,,,,,31,gravy,9,The restaurant was famous for making a delicious gravy that,3,10,2,2,LC242R3
The passwords were stolen by a brilliant hacker living in San Bernardino.,243,HC,The,passwords,were,stolen,by,a,brilliant,hacker,living,in,San,Bernardino.,,,,,18,hacker,8,The passwords were stolen by a brilliant hacker,2,8,4,2,HC243R2
"That weekend, Brian got a nice looking haircut with clean lines.",247,MC,That,"weekend,",Brian,got,a,nice,looking,haircut,with,clean,lines.,,,,,,84,haircut,8,"That weekend, Brian got a nice looking",1,7,4,2,MC247R1
"The angry visitor said hello, but he refused to shake my hand at the office.",249,HC,The,angry,visitor,said,"hello,",but,he,refused,to,shake,my,hand,at,the,office.,,191,hand,12,"The angry visitor said hello, but he refused to shake my hand at",3,13,2,2,HC249R3
Ben didn't like his vacuum cleaner because it was too heavy and bulky.,253,MC,Ben,didn't,like,his,vacuum,cleaner,because,it,was,too,heavy,and,bulky.,,,,67,heavy,11,Ben didn't like his vacuum cleaner because it was too heavy,2,11,2,2,MC253R2
"Because football season is over, Bill is now training to play hockey at school.",257,LC,Because,football,season,is,"over,",Bill,is,now,training,to,play,hockey,at,school.,,,174,hockey,12,"Because football season is over, Bill is now training to play",1,11,3,2,LC257R1
We definitely saw the fish swallow the hook with the sharp point.,259,MC,We,definitely,saw,the,fish,swallow,the,hook,with,the,sharp,point.,,,,,219,hook,8,We definitely saw the fish swallow the hook with,3,9,3,2,MC259R3
"Over at the loading dock, they needed a long hose with an attachment.",263,LC,Over,at,the,loading,"dock,",they,needed,a,long,hose,with,an,attachment.,,,,136,hose,10,"Over at the loading dock, they needed a long hose",2,10,3,2,LC263R2
"For their anniversary in Seattle, they booked a room at a nice hotel in town.",264,HC,For,their,anniversary,in,"Seattle,",they,booked,a,room,at,a,nice,hotel,in,town.,,131,hotel,13,"For their anniversary in Seattle, they booked a room at a nice",1,12,3,2,HC264R1
The chef said that he had run out of ideas to solve the problem.,269,LC,The,chef,said,that,he,had,run,out,of,ideas,to,solve,the,problem.,,,167,ideas,10,The chef said that he had run out of ideas to,3,11,3,2,LC269R3
"Using ice and snow, the traditional Eskimo family built a small igloo on a hill.",270,HC,Using,ice,and,"snow,",the,traditional,Eskimo,family,built,a,small,igloo,on,a,hill.,,101,igloo,12,"Using ice and snow, the traditional Eskimo family built a small igloo",2,12,3,2,HC270R2
The famous writer had just run out of ink in the office.,274,MC,The,famous,writer,had,just,run,out,of,ink,in,the,office.,,,,,95,ink,9,The famous writer had just run out of,1,8,4,2,MC274R1
The diabetic lady needed to inject some insulin to control her blood sugar.,276,HC,The,diabetic,lady,needed,to,inject,some,insulin,to,control,her,blood,sugar.,,,,168,insulin,8,The diabetic lady needed to inject some insulin to,3,9,4,2,HC276R3
I accidentally burned my hand while using the new iron in the bedroom.,280,MC,I,accidentally,burned,my,hand,while,using,the,new,iron,in,the,bedroom.,,,,29,iron,10,I accidentally burned my hand while using the new iron,2,10,3,2,MC280R2
The rescue workers just learned that the captain had died on the island in Bermuda.,284,LC,The,rescue,workers,just,learned,that,the,captain,had,died,on,the,island,in,Bermuda.,,183,island,13,The rescue workers just learned that the captain had died on the,1,12,3,2,LC284R1
"Every Spring, the farmers would make jam and lots of jelly made from raspberries.",286,MC,Every,"Spring,",the,farmers,would,make,jam,and,lots,of,jelly,made,from,raspberries.,,,111,jelly,11,"Every Spring, the farmers would make jam and lots of jelly made",3,12,2,2,MC286R3
The elderly man started to choke and sputter while drinking the juice at breakfast.,290,LC,The,elderly,man,started,to,choke,and,sputter,while,drinking,the,juice,at,breakfast.,,,81,juice,12,The elderly man started to choke and sputter while drinking the juice,2,12,2,2,LC290R2
She's locked out because she forgot to take her keys with her.,291,HC,She's,locked,out,because,she,forgot,to,take,her,keys,with,her.,,,,,212,keys,10,She's locked out because she forgot to take her,1,9,3,2,HC291R1
She didn't want to make a judgement based on the first kiss on the lips.,296,LC,She,didn't,want,to,make,a,judgement,based,on,the,first,kiss,on,the,lips.,,132,kiss,12,She didn't want to make a judgement based on the first kiss on,3,13,2,2,LC296R3
They were cutting the cake using a silver knife that was valuable.,297,HC,They,were,cutting,the,cake,using,a,silver,knife,that,was,valuable.,,,,,112,knife,9,They were cutting the cake using a silver knife,2,9,3,2,HC297R2
The group of bikers crossed more than six lanes of traffic.,301,MC,The,group,of,bikers,crossed,more,than,six,lanes,of,traffic.,,,,,,43,lanes,9,The group of bikers crossed more than six,1,8,3,2,MC301R1
The birthday card was funny and made me laugh at work.,303,HC,The,birthday,card,was,funny,and,made,me,laugh,at,work.,,,,,,125,laugh,9,The birthday card was funny and made me laugh at,3,10,1,2,HC303R3
We saw our neighbor was working on the lawn in front of his house.,307,MC,We,saw,our,neighbor,was,working,on,the,lawn,in,front,of,his,house.,,,92,lawn,9,We saw our neighbor was working on the lawn,2,9,5,2,MC307R2
"When he crashed his car, he decided to call a lawyer right away.",311,LC,When,he,crashed,his,"car,",he,decided,to,call,a,lawyer,right,away.,,,,49,lawyer,11,"When he crashed his car, he decided to call a",1,10,3,2,LC311R1
Her new skirt was made out of black leather and tough fabric.,313,MC,Her,new,skirt,was,made,out,of,black,leather,and,tough,fabric.,,,,,124,leather,9,Her new skirt was made out of black leather and,3,10,2,2,MC313R3
Watson gathered up all the leaves in front of his condo.,317,LC,Watson,gathered,up,all,the,leaves,in,front,of,his,condo.,,,,,,142,leaves,6,Watson gathered up all the leaves,2,6,5,2,LC317R2
"Because Peter never told the truth, everyone knew he was a liar with real issues.",318,HC,Because,Peter,never,told,the,"truth,",everyone,knew,he,was,a,liar,with,real,issues.,,85,liar,12,"Because Peter never told the truth, everyone knew he was a",1,11,4,2,HC318R1
"After finishing up at the store, they went to the library down the street.",323,LC,After,finishing,up,at,the,"store,",they,went,to,the,library,down,the,street.,,,141,library,11,"After finishing up at the store, they went to the library down",3,12,2,2,LC323R3
"It was dark in the bedroom, so she turned on the light in the corner.",324,HC,It,was,dark,in,the,"bedroom,",so,she,turned,on,the,light,in,the,corner.,,70,light,12,"It was dark in the bedroom, so she turned on the light",2,12,3,2,HC324R2
"At the premier, she wore a black dress and some red lipstick that looked nice.",328,MC,At,the,"premier,",she,wore,a,black,dress,and,some,red,lipstick,that,looked,nice.,,205,lipstick,12,"At the premier, she wore a black dress and some red",1,11,4,2,MC328R1
I had to go inside because the jackhammer was very loud and annoying.,330,HC,I,had,to,go,inside,because,the,jackhammer,was,very,loud,and,annoying.,,,,12,loud,11,I had to go inside because the jackhammer was very loud and,3,12,1,2,HC330R3
"For the student's daytrip, he had forgotten to bring his lunch and his thermos.",334,MC,For,the,student's,"daytrip,",he,had,forgotten,to,bring,his,lunch,and,his,thermos.,,,21,lunch,11,"For the student's daytrip, he had forgotten to bring his lunch",2,11,3,2,MC334R2
None of the man's coworkers had a single match which was surprising.,338,LC,,of,the,man's,coworkers,had,a,single,match,which,was,surprising.,,,,,148,match,9,None of the man's coworkers had a single,1,8,4,2,LC338R1
Ben always did well in Biology because he had a good memory since childhood.,340,MC,Ben,always,did,well,in,Biology,because,he,had,a,good,memory,since,childhood.,,,22,memory,12,Ben always did well in Biology because he had a good memory since,3,13,1,2,MC340R3
The local farmers produced a lot of milk that looks fresh.,344,LC,The,local,farmers,produced,a,lot,of,milk,that,looks,fresh.,,,,,,33,milk,8,The local farmers produced a lot of milk,2,8,3,2,LC344R2
The hikers climbed to the summit of the mountain in the Adirondacks.,345,HC,The,hikers,climbed,to,the,summit,of,the,mountain,in,the,Adirondacks.,,,,,154,mountain,9,The hikers climbed to the summit of the,1,8,4,2,HC345R1
"When the building burned down, the man was arrested for murder and arson.",350,LC,When,the,building,burned,"down,",the,man,was,arrested,for,murder,and,arson.,,,,208,murder,11,"When the building burned down, the man was arrested for murder and",3,12,1,2,LC350R3
"Before the weight lifting tournament, he needed to build some muscle real fast.",351,HC,Before,the,weight,lifting,"tournament,",he,needed,to,build,some,muscle,real,fast.,,,,53,muscle,11,"Before the weight lifting tournament, he needed to build some muscle",2,11,2,2,HC351R2
"At the diner, the waitress had forgotten to bring him a napkin made of linen.",355,MC,At,the,"diner,",the,waitress,had,forgotten,to,bring,him,a,napkin,made,of,linen.,,34,napkin,12,"At the diner, the waitress had forgotten to bring him a",1,11,4,2,MC355R1
They had to walk single file because the path was too narrow and cramped.,357,HC,They,had,to,walk,single,file,because,the,path,was,too,narrow,and,cramped.,,,108,narrow,12,They had to walk single file because the path was too narrow and,3,13,1,2,HC357R3
"Of all the animals, the flamingo is known for its long neck and distinctive colors.",361,MC,Of,all,the,"animals,",the,flamingo,is,known,for,its,long,neck,and,distinctive,colors.,,211,neck,12,"Of all the animals, the flamingo is known for its long neck",2,12,3,2,MC361R2
During arts and crafts she broke the tip of the needle while quilting.,365,LC,During,arts,and,crafts,she,broke,the,tip,of,the,needle,while,quilting.,,,,193,needle,11,During arts and crafts she broke the tip of the,1,10,3,2,LC365R1
"Up in the poplar tree, the stray cat found a nest made of twigs.",367,MC,Up,in,the,poplar,"tree,",the,stray,cat,found,a,nest,made,of,twigs.,,,207,nest,11,"Up in the poplar tree, the stray cat found a nest made",3,12,2,2,MC367R3
Samantha and Karen suspected it was under the net in the high school gym.,371,LC,Samantha,and,Karen,suspected,it,was,under,the,net,in,the,high,school,gym.,,,54,net,9,Samantha and Karen suspected it was under the net,2,9,5,2,LC371R2
"Because they are nocturnal creatures, all bats hunt at night in the city.",372,HC,Because,they,are,nocturnal,"creatures,",all,bats,hunt,at,night,in,the,city.,,,,184,night,10,"Because they are nocturnal creatures, all bats hunt at",1,9,4,2,HC372R1
Jack remembered that he needed to clean the oven at home.,377,LC,Jack,remembered,that,he,needed,to,clean,the,oven,at,home.,,,,,,86,oven,9,Jack remembered that he needed to clean the oven at,3,10,1,2,LC377R3
The heroin addict died of an overdose in the motel room.,378,HC,The,heroin,addict,died,of,an,overdose,in,the,motel,room.,,,,,,159,overdose,7,The heroin addict died of an overdose,2,7,4,2,HC378R2
At Home Depot they didn't sell the right kind of paint for the mural.,382,MC,At,Home,Depot,they,didn't,sell,the,right,kind,of,paint,for,the,mural.,,,110,paint,11,At Home Depot they didn't sell the right kind of,1,10,4,2,MC382R1
The student opened his notebook and pulled out a piece of paper for taking notes.,384,HC,The,student,opened,his,notebook,and,pulled,out,a,piece,of,paper,for,taking,notes.,,72,paper,12,The student opened his notebook and pulled out a piece of paper for,3,13,2,2,HC384R3
