words,itemnum,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos
The weather's been so nice that the plants have started to bloom out back.,49,MC,The,weather's,been,so,nice,that,the,plants,have,started,to,bloom,out,back.,,,175,bloom,12
We started watering the yard because the plants had begun to bloom out back.,50,LC,We,started,watering,the,yard,because,the,plants,had,begun,to,bloom,out,back.,,,175,bloom,12
"Following his orders, the terrorist threatened to drop the bomb made of TNT.",51,HC,Following,his,"orders,",the,terrorist,threatened,to,drop,the,bomb,made,of,TNT.,,,,65,bomb,10
"To destroy the building, they decided to use the bomb made of TNT.",52,MC,To,destroy,the,"building,",they,decided,to,use,the,bomb,made,of,TNT.,,,,65,bomb,10
Jonathan was shocked that they decided to use the bomb made of TNT.,53,LC,Jonathan,was,shocked,that,they,decided,to,use,the,bomb,made,of,TNT.,,,,65,bomb,10
The author signed a copy of her new book at the bookstore.,54,HC,The,author,signed,a,copy,of,her,new,book,at,the,bookstore.,,,,,75,book,9
The unsuccessful student went to buy a new book at the bookstore.,55,MC,The,unsuccessful,student,went,to,buy,a,new,book,at,the,bookstore.,,,,,75,book,9
The landlord who lived downstairs bought a new book at the bookstore.,56,LC,The,landlord,who,lived,downstairs,bought,a,new,book,at,the,bookstore.,,,,,75,book,9
The immigrant left Mexico and tried to cross the border into Texas.,57,HC,The,immigrant,left,Mexico,and,tried,to,cross,the,border,into,Texas.,,,,,151,border,10
There were lots of intimidating guards stationed at the border into Texas.,58,MC,There,were,lots,of,intimidating,guards,stationed,at,the,border,into,Texas.,,,,,151,border,10
The kids were scared about trying to cross the border into Texas.,59,LC,The,kids,were,scared,about,trying,to,cross,the,border,into,Texas.,,,,,151,border,10
"Because the work was repetitive, he thought it was boring and dull.",60,HC,Because,the,work,was,"repetitive,",he,thought,it,was,boring,and,dull.,,,,,102,boring,10
"He visited the museum, and he thought it was boring and dull.",61,MC,He,visited,the,"museum,",and,he,thought,it,was,boring,and,dull.,,,,,102,boring,10
"He visited the catacombs, and he thought it was boring and dull.",62,LC,He,visited,the,"catacombs,",and,he,thought,it,was,boring,and,dull.,,,,,102,boring,10
The archer pulled back the string of his bow and fired.,63,HC,The,archer,pulled,back,the,string,of,his,bow,and,fired.,,,,,,162,bow,9
"While facing the target, he picked up his bow and fired.",64,MC,While,facing,the,"target,",he,picked,up,his,bow,and,fired.,,,,,,162,bow,9
"On television, the Olympic athlete picked up his bow and fired.",65,LC,On,"television,",the,Olympic,athlete,picked,up,his,bow,and,fired.,,,,,,162,bow,9
Jan poured the milk and cereal into her bowl at breakfast time.,66,HC,Jan,poured,the,milk,and,cereal,into,her,bowl,at,breakfast,time.,,,,,39,bowl,9
The waiter accidentally dropped her spoon and her bowl at breakfast time.,67,MC,The,waiter,accidentally,dropped,her,spoon,and,her,bowl,at,breakfast,time.,,,,,39,bowl,9
Jan was walking and she accidentally dropped her bowl at breakfast time.,68,LC,Jan,was,walking,and,she,accidentally,dropped,her,bowl,at,breakfast,time.,,,,,39,bowl,9
"Instead of the accelerator, Maria stepped on the brake all of a sudden.",69,HC,Instead,of,the,"accelerator,",Maria,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9
My passengers jumped when I stepped on the brake all of a sudden.,70,MC,My,passengers,jumped,when,I,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9
We were surprised when Maria stepped on the brake all of a sudden.,71,LC,We,were,surprised,when,Maria,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9
Laurence got some yeast to bake his own bread from scratch.,72,HC,Laurence,got,some,yeast,to,bake,his,own,bread,from,scratch.,,,,,,11,bread,9
Laurence needed some advice before baking his own bread from scratch.,73,MC,Laurence,needed,some,advice,before,baking,his,own,bread,from,scratch.,,,,,,11,bread,9
Laurence woke up early to make his own bread from scratch.,74,LC,Laurence,woke,up,early,to,make,his,own,bread,from,scratch.,,,,,,11,bread,9
They got a loan to start their own small business in Wichita.,75,HC,They,got,a,loan,to,start,their,own,small,business,in,Wichita.,,,,,105,business,10
My roommate was hoping to build his own small business in Wichita.,76,MC,My,roommate,was,hoping,to,build,his,own,small,business,in,Wichita.,,,,,105,business,10
They needed some land to build their own small business in Wichita.,77,LC,They,needed,some,land,to,build,their,own,small,business,in,Wichita.,,,,,105,business,10
The birthday boy didn't want frosting on his slice of cake after all.,78,HC,The,birthday,boy,didn't,want,frosting,on,his,slice,of,cake,after,all.,,,,20,cake,11
The hungry student decided to buy a small piece of cake after all.,79,MC,The,hungry,student,decided,to,buy,a,small,piece,of,cake,after,all.,,,,20,cake,11
My wife said that she didn't like that kind of cake after all.,80,LC,My,wife,said,that,she,didn't,like,that,kind,of,cake,after,all.,,,,20,cake,11
The cow gave birth to the brown calf in the barn.,81,HC,The,cow,gave,birth,to,the,brown,calf,in,the,barn.,,,,,,157,calf,8
The farmer gave milk to the brown calf in the barn.,82,MC,The,farmer,gave,milk,to,the,brown,calf,in,the,barn.,,,,,,157,calf,8
Bill went to check on the brown calf in the barn.,83,LC,Bill,went,to,check,on,the,brown,calf,in,the,barn.,,,,,,157,calf,8
The boy scouts hurried back to set up camp after the storm lifted.,84,HC,The,boy,scouts,hurried,back,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9
The cheerful woman hurried over to set up camp after the storm lifted.,85,MC,The,cheerful,woman,hurried,over,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9
We watched my nephew try to set up camp after the storm lifted.,86,LC,We,watched,my,nephew,try,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9
"On Halloween, the costumed children grabbed several pieces of candy with nuts.",87,HC,On,"Halloween,",the,costumed,children,grabbed,several,pieces,of,candy,with,nuts.,,,,,158,candy,10
"While touring the factory, Bill sampled several pieces of candy with nuts.",88,MC,While,touring,the,"factory,",Bill,sampled,several,pieces,of,candy,with,nuts.,,,,,158,candy,10
The food scientists were developing a new type of candy with nuts.,89,LC,The,food,scientists,were,developing,a,new,type,of,candy,with,nuts.,,,,,158,candy,10
The cashier asked the customer to swipe his card once again.,90,HC,The,cashier,asked,the,customer,to,swipe,his,card,once,again.,,,,,,107,card,9
Johnathan told the banker that he'd lost his card once again.,91,MC,Johnathan,told,the,banker,that,he'd,lost,his,card,once,again.,,,,,,107,card,9
"At security, the guards needed to inspect his card once again.",92,LC,At,"security,",the,guards,needed,to,inspect,his,card,once,again.,,,,,,107,card,9
"In the cartoon, Bugs Bunny was munching on a carrot that looked wilted.",93,HC,In,the,"cartoon,",Bugs,Bunny,was,munching,on,a,carrot,that,looked,wilted.,,,,55,carrot,10
The cook was chopping up the parsley and a carrot that looked wilted.,94,MC,The,cook,was,chopping,up,the,parsley,and,a,carrot,that,looked,wilted.,,,,55,carrot,10
In the door of his refrigerator he found a carrot that looked wilted.,95,LC,In,the,door,of,his,refrigerator,he,found,a,carrot,that,looked,wilted.,,,,55,carrot,10
"At Costco, the toddler wanted to push the cart near the tall shelves.",96,HC,At,"Costco,",the,toddler,wanted,to,push,the,cart,near,the,tall,shelves.,,,,30,cart,9
The grocery store employee had to retrieve the cart near the tall shelves.,97,MC,The,grocery,store,employee,had,to,retrieve,the,cart,near,the,tall,shelves.,,,,30,cart,9
"At work, the assistant needed to find the cart near the tall shelves.",98,LC,At,"work,",the,assistant,needed,to,find,the,cart,near,the,tall,shelves.,,,,30,cart,9
The biologist knew that there were bats living in the cave in the woods.,99,HC,The,biologist,knew,that,there,were,bats,living,in,the,cave,in,the,woods.,,,79,cave,11
The biologist knew that there were bears living in the cave in the woods.,100,MC,The,biologist,knew,that,there,were,bears,living,in,the,cave,in,the,woods.,,,79,cave,11
The police knew that there were people living in the cave in the woods.,101,LC,The,police,knew,that,there,were,people,living,in,the,cave,in,the,woods.,,,79,cave,11
DNA is housed within the nucleus of a cell in a living organism.,102,HC,DNA,is,housed,within,the,nucleus,of,a,cell,in,a,living,organism.,,,,144,cell,9
The scientists were extracting the DNA from a cell in a living organism.,103,MC,The,scientists,were,extracting,the,DNA,from,a,cell,in,a,living,organism.,,,,144,cell,9
"In his textbook, there's a drawing of a cell in a living organism.",104,LC,In,his,"textbook,",there's,a,drawing,of,a,cell,in,a,living,organism.,,,,144,cell,9
The teacher walked up to the board and grabbed a piece of chalk at home.,105,HC,The,teacher,walked,up,to,the,board,and,grabbed,a,piece,of,chalk,at,home.,,196,chalk,13
"After decades, the instructor decided to switch to a new brand of chalk at home.",106,MC,After,"decades,",the,instructor,decided,to,switch,to,a,new,brand,of,chalk,at,home.,,196,chalk,13
"While searching around in the garage, the man found a piece of chalk at home.",107,LC,While,searching,around,in,the,"garage,",the,man,found,a,piece,of,chalk,at,home.,,196,chalk,13
The checkmate abruptly ended their game of chess at Victor's house.,108,HC,The,checkmate,abruptly,ended,their,game,of,chess,at,Victor's,house.,,,,,,213,chess,8
The two Russians played another round of chess at Victor's house.,109,MC,The,two,Russians,played,another,round,of,chess,at,Victor's,house.,,,,,,213,chess,8
They were learning another important rule of chess at Victor's house.,110,LC,They,were,learning,another,important,rule,of,chess,at,Victor's,house.,,,,,,213,chess,8
Santa lands on the roof and comes down through the chimney of the house.,111,HC,Santa,lands,on,the,roof,and,comes,down,through,the,chimney,of,the,house.,,,106,chimney,11
The firefighter noticed there was smoke coming out of the chimney of the house.,112,MC,The,firefighter,noticed,there,was,smoke,coming,out,of,the,chimney,of,the,house.,,,106,chimney,11
"Every Spring, my family cleans out the basement and the chimney of the house.",113,LC,Every,"Spring,",my,family,cleans,out,the,basement,and,the,chimney,of,the,house.,,,106,chimney,11
The soprano auditioned for the church choir in the evening.,114,HC,The,soprano,auditioned,for,the,church,choir,in,the,evening.,,,,,,,194,choir,7
"Every Easter, they heard the church choir in the evening.",115,MC,Every,"Easter,",they,heard,the,church,choir,in,the,evening.,,,,,,,194,choir,7
Elizabeth didn't like to attend church choir in the evening.,116,LC,Elizabeth,didn't,like,to,attend,church,choir,in,the,evening.,,,,,,,194,choir,7
"At storytime, the preschoolers have to sit in a circle on the rug.",117,HC,At,"storytime,",the,preschoolers,have,to,sit,in,a,circle,on,the,rug.,,,,47,circle,10
The girl decided to arrange her dolls in a circle on the rug.,118,MC,The,girl,decided,to,arrange,her,dolls,in,a,circle,on,the,rug.,,,,47,circle,10
All of the fifth-graders had to get in a circle on the rug.,119,LC,All,of,the,fifth-graders,had,to,get,in,a,circle,on,the,rug.,,,,47,circle,10
"Above the doorway, he heard the ticking of the old clock on the wall.",120,HC,Above,the,"doorway,",he,heard,the,ticking,of,the,old,clock,on,the,wall.,,,35,clock,11
"In the den, they replaced the battery in the old clock on the wall.",121,MC,In,the,"den,",they,replaced,the,battery,in,the,old,clock,on,the,wall.,,,35,clock,11
"After their trip, they replaced the battery in the old clock on the wall.",122,LC,After,their,"trip,",they,replaced,the,battery,in,the,old,clock,on,the,wall.,,,35,clock,11
"In a few weeks, the butterfly will emerge from the cocoon made of silk.",123,HC,In,a,few,"weeks,",the,butterfly,will,emerge,from,the,cocoon,made,of,silk.,,,25,cocoon,11
The caterpillar was trying its best to escape from the cocoon made of silk.,124,MC,The,caterpillar,was,trying,its,best,to,escape,from,the,cocoon,made,of,silk.,,,25,cocoon,11
The biologist used the microscope to see inside of the cocoon made of silk.,125,LC,The,biologist,used,the,microscope,to,see,inside,of,the,cocoon,made,of,silk.,,,25,cocoon,11
Melissa asks for decaf when ordering her cup of coffee at the restaurant.,126,HC,Melissa,asks,for,decaf,when,ordering,her,cup,of,coffee,at,the,restaurant.,,,,123,coffee,10
The customer left without finishing his last sip of coffee at the restaurant.,127,MC,The,customer,left,without,finishing,his,last,sip,of,coffee,at,the,restaurant.,,,,123,coffee,10
Melissa has difficulty when she's picking a type of coffee at the restaurant.,128,LC,Melissa,has,difficulty,when,she's,picking,a,type,of,coffee,at,the,restaurant.,,,,123,coffee,10
We had to guess heads or tails when the referee flipped the coin in Dallas.,129,HC,We,had,to,guess,heads,or,tails,when,the,referee,flipped,the,coin,in,Dallas.,,190,coin,13
"Because it was rare, he could get some money from selling the coin in Dallas.",130,MC,Because,it,was,"rare,",he,could,get,some,money,from,selling,the,coin,in,Dallas.,,190,coin,13
"He was carrying so much stuff in his hands, he dropped the coin in Dallas.",131,LC,He,was,carrying,so,much,stuff,in,his,"hands,",he,dropped,the,coin,in,Dallas.,,190,coin,13
The boy scout navigated using a map and a compass in his bag.,132,HC,The,boy,scout,navigated,using,a,map,and,a,compass,in,his,bag.,,,,173,compass,10
My brother always carried a pocket knife and a compass in his bag.,133,MC,My,brother,always,carried,a,pocket,knife,and,a,compass,in,his,bag.,,,,173,compass,10
The boyscout always carried a first-aid kit and a compass in his bag.,134,LC,The,boyscout,always,carried,a,first-aid,kit,and,a,compass,in,his,bag.,,,,173,compass,10
Lauren turned on the TV and flopped down on the couch in the den.,135,HC,Lauren,turned,on,the,TV,and,flopped,down,on,the,couch,in,the,den.,,,5,couch,11
They were worried that the cat would tear up the couch in the den.,136,MC,They,were,worried,that,the,cat,would,tear,up,the,couch,in,the,den.,,,5,couch,11
"Before painting, the contractors laid down a tarp on the couch in the den.",137,LC,Before,"painting,",the,contractors,laid,down,a,tarp,on,the,couch,in,the,den.,,,5,couch,11
Eric sued the taxi driver and took him to court On Tuesday.,138,HC,Eric,sued,the,taxi,driver,and,took,him,to,court,On,Tuesday.,,,,,203,court,10
Susan was angry at Eric and took him to court On Tuesday.,139,MC,Susan,was,angry,at,Eric,and,took,him,to,court,On,Tuesday.,,,,,203,court,10
Eric picked up his friend and brought him to court On Tuesday.,140,LC,Eric,picked,up,his,friend,and,brought,him,to,court,On,Tuesday.,,,,,203,court,10
Jesus was crucified on a large wooden cross made of oak.,141,HC,Jesus,was,crucified,on,a,large,wooden,cross,made,of,oak.,,,,,,169,cross,8
The nuns were praying beside the wooden cross made of oak.,142,MC,The,nuns,were,praying,beside,the,wooden,cross,made,of,oak.,,,,,,169,cross,8
"In the gallery, there was a wooden cross made of oak.",143,LC,In,the,"gallery,",there,was,a,wooden,cross,made,of,oak.,,,,,,169,cross,8
"On the queen's head, the priest placed a golden crown with bright jewels.",144,HC,On,the,queen's,"head,",the,priest,placed,a,golden,crown,with,bright,jewels.,,,,209,crown,10
"On the king's nightstand, the men saw a golden crown with bright jewels.",145,MC,On,the,king's,"nightstand,",the,men,saw,a,golden,crown,with,bright,jewels.,,,,209,crown,10
The merchant paid for the goods with a golden crown with bright jewels.,146,LC,The,merchant,paid,for,the,goods,with,a,golden,crown,with,bright,jewels.,,,,209,crown,10
The disease is fatal as there is no known cure for it.,147,HC,The,disease,is,fatal,as,there,is,no,known,cure,for,it.,,,,,14,cure,10
This danger is real and there is no known cure for it.,148,MC,This,danger,is,real,and,there,is,no,known,cure,for,it.,,,,,14,cure,10
We heard that the remote island has no known cure for it.,149,LC,We,heard,that,the,remote,island,has,no,known,cure,for,it.,,,,,14,cure,10
Camels can travel across the hot sands of the desert in Algeria.,150,HC,Camels,can,travel,across,the,hot,sands,of,the,desert,in,Algeria.,,,,,99,desert,10
"Somehow, farmers were able to grow crops in the desert in Algeria.",151,MC,"Somehow,",farmers,were,able,to,grow,crops,in,the,desert,in,Algeria.,,,,,99,desert,10
The young students learned some interesting facts about the desert in Algeria.,152,LC,The,young,students,learned,some,interesting,facts,about,the,desert,in,Algeria.,,,,,99,desert,10
"Late at the office, Victor can always be found sitting at his desk near the window.",153,HC,Late,at,the,"office,",Victor,can,always,be,found,sitting,at,his,desk,near,the,window.,97,desk,13
My friend always kept a large bag of chocolate bars in his desk near the window.,154,MC,My,friend,always,kept,a,large,bag,of,chocolate,bars,in,his,desk,near,the,window.,97,desk,13
"When I came home yesterday, I saw that Victor was fixing his desk near the window.",155,LC,When,I,came,home,"yesterday,",I,saw,that,Victor,was,fixing,his,desk,near,the,window.,97,desk,13
"To prevent a mess, the caregiver checked the baby's diaper for accidents.",156,HC,To,prevent,a,"mess,",the,caregiver,checked,the,baby's,diaper,for,accidents.,,,,,177,diaper,10
"Before leaving the driveway, my wife checked the baby's diaper for accidents.",157,MC,Before,leaving,the,"driveway,",my,wife,checked,the,baby's,diaper,for,accidents.,,,,,177,diaper,10
"Before leaving the maternity ward, someone checked the baby's diaper for accidents.",158,LC,Before,leaving,the,maternity,"ward,",someone,checked,the,baby's,diaper,for,accidents.,,,,,177,diaper,10
"To take her turn at Monopoly, Helen rolled both of the dice last night.",159,HC,To,take,her,turn,at,"Monopoly,",Helen,rolled,both,of,the,dice,last,night.,,,126,dice,12
"They weren't able to play Monopoly, because they had lost the dice last night.",160,MC,They,weren't,able,to,play,"Monopoly,",because,they,had,lost,the,dice,last,night.,,,126,dice,12
"While cleaning out the cluttered closet, Helen found both of the dice last night.",161,LC,While,cleaning,out,the,cluttered,"closet,",Helen,found,both,of,the,dice,last,night.,,,126,dice,12
My medical records are accessible to the nurse and the doctor at the clinic.,162,HC,My,medical,records,are,accessible,to,the,nurse,and,the,doctor,at,the,clinic.,,,133,doctor,11
The young woman was inspired by the scientist and the doctor at the clinic.,163,MC,The,young,woman,was,inspired,by,the,scientist,and,the,doctor,at,the,clinic.,,,133,doctor,11
She had to be interviewed by the lawyer and the doctor at the clinic.,164,LC,She,had,to,be,interviewed,by,the,lawyer,and,the,doctor,at,the,clinic.,,,133,doctor,11
The bird typically used to symbolize peace is a white dove with outstretched wings.,165,HC,The,bird,typically,used,to,symbolize,peace,is,a,white,dove,with,outstretched,wings.,,,180,dove,11
"Perched up on the powerline he saw a small, white dove with outstretched wings.",166,MC,Perched,up,on,the,powerline,he,saw,a,"small,",white,dove,with,outstretched,wings.,,,180,dove,11
In the corner of his eye he saw a white dove with outstretched wings.,167,LC,In,the,corner,of,his,eye,he,saw,a,white,dove,with,outstretched,wings.,,,180,dove,11
Maria thought she looked great in her little black dress with sequins.,168,HC,Maria,thought,she,looked,great,in,her,little,black,dress,with,sequins.,,,,,128,dress,10
"In her bedroom, she was looking for her black dress with sequins.",169,MC,In,her,"bedroom,",she,was,looking,for,her,black,dress,with,sequins.,,,,,128,dress,10
"When she moved away, my girlfriend sold the black dress with sequins.",170,LC,When,she,moved,"away,",my,girlfriend,sold,the,black,dress,with,sequins.,,,,,128,dress,10
He was very thirsty and needed something to drink at the bar.,171,HC,He,was,very,thirsty,and,needed,something,to,drink,at,the,bar.,,,,,153,drink,9
"At the restaurant, he didn't want anything to drink at the bar.",172,MC,At,the,"restaurant,",he,didn't,want,anything,to,drink,at,the,bar.,,,,,153,drink,9
"When school ended, my friends just wanted to drink at the bar.",173,LC,When,school,"ended,",my,friends,just,wanted,to,drink,at,the,bar.,,,,,153,drink,9
The lake had dried up after last year's drought in California.,174,HC,The,lake,had,dried,up,after,last,year's,drought,in,California.,,,,,,8,drought,9
They mortgaged all their land after last year's drought in California.,175,MC,They,mortgaged,all,their,land,after,last,year's,drought,in,California.,,,,,,8,drought,9
They started filming a documentary about last year's drought in California.,176,LC,They,started,filming,a,documentary,about,last,year's,drought,in,California.,,,,,,8,drought,9
My wife hangs the wet clothes outside to dry behind the barn.,177,HC,My,wife,hangs,the,wet,clothes,outside,to,dry,behind,the,barn.,,,,,96,dry,9
The farmer was waiting for the field to dry behind the barn.,178,MC,The,farmer,was,waiting,for,the,field,to,dry,behind,the,barn.,,,,,96,dry,9
The driver was waiting for the car to dry behind the barn.,179,LC,The,driver,was,waiting,for,the,car,to,dry,behind,the,barn.,,,,,96,dry,9
"Her fridge was empty, and she had nothing to eat while she waited.",180,HC,Her,fridge,was,"empty,",and,she,had,nothing,to,eat,while,she,waited.,,,,36,eat,10
"The premiere was starting, and she had nothing to eat while she waited.",181,MC,The,premiere,was,"starting,",and,she,had,nothing,to,eat,while,she,waited.,,,,36,eat,10
"My cousin was bored, and she had nothing to eat while she waited.",182,LC,My,cousin,was,"bored,",and,she,had,nothing,to,eat,while,she,waited.,,,,36,eat,10
The hen was going to lay some more eggs after sunrise.,183,HC,The,hen,was,going,to,lay,some,more,eggs,after,sunrise.,,,,,,147,eggs,9
The man really wanted to fry some more eggs after sunrise.,184,MC,The,man,really,wanted,to,fry,some,more,eggs,after,sunrise.,,,,,,147,eggs,9
The girl was planning to buy some more eggs after sunrise.,185,LC,The,girl,was,planning,to,buy,some,more,eggs,after,sunrise.,,,,,,147,eggs,9
The senator campaigned in order to win the election that was weeks away.,186,HC,The,senator,campaigned,in,order,to,win,the,election,that,was,weeks,away.,,,,83,election,9
The senator's wife was very angry about the election that was weeks away.,187,MC,The,senator's,wife,was,very,angry,about,the,election,that,was,weeks,away.,,,,83,election,9
My roommate needed to learn more about the election that was weeks away.,188,LC,My,roommate,needed,to,learn,more,about,the,election,that,was,weeks,away.,,,,83,election,9
