Cloze,Sentence,Question,Right,Wrong,Item
M,For my fiancee's upcoming birthday I bought her a ring with a big diamond.,,,,87
M,We saw our neighbor was working on the lawn in front of his house.,,,,88
M,They needed to add more water to the heated pool after nightfall.,,,,89
M,The old woman with the painful sunburn tried to get some relief like we suggested.,,,,90
M,The famous writer had just run out of ink in the office.,,,,91
M,The farmer was waiting for the field to dry behind the barn.,,,,92
M,My friend always kept a large bag of chocolate bars in his desk near the window.,,,,93
M,The cheerful woman hurried over to set up camp after the storm lifted.,,,,94
M,Somehow farmers were able to grow crops in the desert in Algeria.,,,,95
M,The chief of police found the suicide note on the bed in the guestroom.,,,,96
M,To get warm the two arctic explorers climbed inside a small igloo on a hill.,,,,97
M,He visited the museum and he thought it was boring and dull.,,,,98
M,She wore a beautiful gown and a veil made of silk.,,,,99
M,The collector of Chinese artifacts had just acquired the expensive vase made of porcelain.,,,,100
M,My roommate was hoping to build his own small business in Wichita.,,,,101
M,The firefighter noticed there was smoke coming out of the chimney of the house.,,,,102
M,Johnathan told the banker that he'd lost his card again.,,,,103
M,They decided to use the elevator because the stairwell was too narrow and cramped.,,,,104
M,The technician had to adjust all the lights above the stage all by himself.,,,,105
M,At Home Depot they didn't sell the right kind of paint for the mural.,,,,106
M,Every Spring the farmers would make jam and lots of jelly made from raspberries.,,,,107
M,We decided to buy the cook a silver knife that was valuable.,,,,108
M,Sarah arranged the items on the shelf in the study.,,,,109
M,The family wondered whether the visitors wanted to say grace around the table.,,,,110
M,Despite his best efforts he couldn't recognize a single word the entire time.,,,,111
M,My roommate needed some advice on how to remove the stain on his jacket.,,,,112
M,She learned how to use makeup from her friends and sisters at home.,,,,113
M,After catching the animals the poachers cut off their tusks before nightfall.,,,,114
M,Tim had forgotten his mother's email address and password at some point.,,,,115
M,He had a big date and he needed to buy a suit at Kohl's.,,,,116
M,He opened up the oven to remove the baked potato that was steaming.,,,,117
M,The thirsty police officer could probably drink a gallon apparently.,,,,118
M,The customer left without finishing his last sip of coffee at the restaurant.,,,,119
M,Her new skirt was made out of black leather and tough fabric.,,,,120
M,The coach of our team always made me laugh at work.,,,,121
M,They weren't able to play Monopoly because they had lost the dice last night.,,,,122
M,He didn't drive home because the roads were getting wet outside.,,,,123
M,In her bedroom she was looking for her black dress with sequins.,,,,124
M,The elderly shepherd sold a large amount of wool that was very warm.,,,,125
M,This powder might make you itch or sneeze around other people.,,,,126
M,For the wedding reception they were supposed to meet at a nice hotel in town.,,,,127
M,Emma bragged to her friends that she had gotten her first kiss on the lips.,,,,128
M,The young woman was inspired by the scientist and the doctor at the clinic.,,,,129
M,The group of scientists was attacked by a giant squid with long tentacles.,,,,130
M,On her eighteenth birthday her parents got her tickets see the band that she admired.,,,,131
M,Outside in the back yard they needed a long hose with an attachment.,,,,132
M,Their team never won because they never got a goal during the game.,,,,133
M,The janitor decided to purchase a new brand of soap yesterday.,,,,134
M,Mike was searching around in the kitchen for a small metal spoon with a long handle.,,,,135
M,For the pie they bought a large pumpkin at the Farmer's market.,,,,136
M,To get some peace and quiet he went to the library down the street.,,,,137
M,The breeze lifted all the leaves in front of his condo.,,,,138
M,The trainee used the thick rubber gloves in the hospital.,,,,139
M,The scientists were extracting the DNA from a cell in a living organism.,,,,140
M,The steam from her shower collected in a big puddle on the floor.,,,,141
M,The chef dumped out the measuring cup that was filled with flour from the store.,,,,142
M,The man really wanted to fry some more eggs after sunrise.,,,,143
M,The forest fire was started by a single match which was surprising.,,,,144
L,After he returned home from his travels Jim became a farmer in his hometown.,What job did Jim choose?,farmer,surgeon,145
L,While she was shopping yesterday she bought an elegant frame made of silver.,What did she buy?,frame,painting,146
L,The kids were scared about trying to cross the border into Texas.,Which border were they crossing?,Mexican,Canadian,147
L,The animal in the zoo enclosure was trying to clean its beak and claws.,What kind of animal was it?,bird,badger,148
L,When school ended my friends just wanted to drink at the bar.,What did they want to do?,drink,eat,149
L,The scholars learned about the history of the mountain in the Adirondacks.,Was it in the Adirondacks?,yes,no,150
L,Everett's dad asked if he could move the tent near the woods.,Were they going to sleep in a hotel?,no,yes,151
L,The house sits between two shops in a valley somewhere in Colorado.,Where was the valley?,Colorado,Montana,152
L,Bill went to check on the brown calf in the barn.,Where was the calf?,the barn,the field,153
L,The food scientists were developing a new type of candy with nuts.,Were they developing something sweet?,yes,no,154
L,The celebrity showed signs of an overdose in the motel room.,Where did it happen?,motel room,storage room,155
L,Before leaving to buy groceries my aunt suddenly lost her voice and couldn't speak.,What did she lose?,her voice,her courage,156
L,John and his wife prepared for the annual sale which always attracted customers.,How often did the sale happen?,every year,every week,157
L,On television the Olympic athlete picked up his bow and fired.,Was the athlete a professional runner?,no,yes,158
L,My little sister had never seen that type of snake in the jungle.,,,,159
L,To paint the ceiling the decorator needed a stool in the corner.,,,,160
L,When the actor approached the audience he started shaking all of a sudden.,,,,161
L,They hired the consultant because of her knowledge of art from the past.,,,,162
L,The chef said that he had run out of ideas to solve the problem.,,,,163
L,The homeless woman tried to inject some insulin to control her blood sugar.,,,,164
L,In the gallery there was a wooden cross made of oak.,,,,165
L,Apparently because James didn't have a pen he couldn't sign his yearbook after graduation.,,,,166
L,The accountant put all of the old documents in the attic at home.,,,,167
L,When he dropped the new toy it could no longer fly or move around.,,,,168
L,The boyscout always carried a firstaid kit and a compass in his bag.,,,,169
L,Because football season is over Bill is now training to play hockey at school.,,,,170
L,We started watering the yard because the plants had begun to bloom out back.,,,,171
L,They suspected there was something wrong with the air outside.,,,,172
L,Before leaving the maternity ward someone checked the baby's diaper for accidents.,,,,173
L,Jason brought his parents a lot of fruit as well.,,,,174
L,At the ancient burial site they found weapons made of wood with smooth edges.,,,,175
L,In the corner of his eye he saw a white dove with outstretched wings.,,,,176
L,Brenda had a change of heart and decided to switch the font of the magazine.,,,,177
L,Luckily the old woman found lots of interesting programs on the radio that evening.,,,,178
L,The rescue workers just learned that the captain had died on the island in Bermuda.,,,,179
L,The student was going to get her degree at night in the city.,,,,180
L,Charlotte finished reading a book about a rare kind of flower according to Alan.,,,,181
L,The princess could not be awakened by the spell for some reason.,,,,182
L,It's easy to recognize a piranha because of its stripes and markings.,,,,183
L,All of us knew that Eric wouldn't want to sleep after all the commotion.,,,,184
L,At the Italian restaurant they had trouble reading the small sign in the distance.,,,,185
L,He was carrying so much stuff in his hands he dropped the coin in Dallas.,,,,186
L,I was very uncomfortable because I had a cramp in my hand at the office.,,,,187
L,The hotel didn't have coffee so instead they drank soda all the time.,,,,188
L,During arts and crafts she broke the tip of the needle while quilting.,,,,189
L,Elizabeth didn't like to attend church choir in the evening.,,,,190
L,The people outside were avoiding the group of bees in the yard.,,,,191
L,While searching around in the garage the man found a piece of chalk during class.,,,,192
L,Timmy wanted to hear another bedtime story about the elves on Christmas Eve.,,,,193
L,The factory produces noxious chemicals that can damage your skin quite badly.,,,,194
L,I reminded my wife that we needed some more sugar and cinnamon.,,,,195
L,The students were ducking for cover when they heard the siren off in the distance.,,,,196
L,The accomplished artist carved the design on the large wooden shield covered in spikes.,,,,197
L,Right beside the lake there was a huge party that made the neighbors angry.,,,,198
L,Eric picked up his friend and brought him to court on Tuesday.,,,,199
L,When their mother was home they could have brownies and tea on the back porch.,,,,200
L,At the store she bought some black pens and some red lipstick that looked nice.,,,,201
L,My picky younger brother refused to eat the banana at breakfast.,,,,202
L,While cleaning up outside Jerry had to throw away a nest made of twigs.,,,,203
L,When the building burned down the man was arrested for murder and arson.,,,,204
L,The merchant paid for the goods with a golden crown with bright jewels.,,,,205
L,The students were learning about the army after school.,,,,206
L,Of all the animals the peacock is known for its long neck and distinctive colors.,,,,207
L,While running her errands she forgot to take her keys with her.,,,,208
L,They were learning another important rule of chess at Victor's house.,,,,209
L,The small dagger that the soldier carried was covered with poison last night.,,,,210
L,Brazil is known to import lots of lumber livestock and gold from India.,,,,211
L,She threw away her meal because it was too sour and tangy.,,,,212
L,The woman's counter and refrigerator were covered in blood from the killings.,,,,213
L,The neighborhood at the top of the tall hill was very quiet and peaceful.,,,,214
L,James didn't have enough money for the hook with the sharp point.,,,,215
L,On the canvas Andrew drew a star up in the sky.,,,,216
