words,itemnum,used_in_expt2,condition,word01,word02,word03,word04,word05,word06,word07,word08,word09,word10,word11,word12,word13,word14,word15,word16,group,critical_word,critical_word_pos,gpt2,gpt2prob,gpt2region,gpt2regionprob,glovedistmin,glovedistmean,unigram,unigramregion,wlen,wlenregion
The girl was extremely excited that she was going to learn ballet from an expert.,17,False,LC,The,girl,was,extremely,excited,that,she,was,going,to,learn,ballet,from,an,expert.,,57,ballet,12,6.3458123,0.0017540773,13.423648,1.4797345e-06,0.8039667107412305,0.9351500359116092,5.7968926,10.656281,6,12
The man used the helium to inflate the red balloon for the child.,18,True,HC,The,man,used,the,helium,to,inflate,the,red,balloon,for,the,child.,,,,59,balloon,10,2.6245759,0.072470486,9.146698,0.00010657112,0.4431289236547073,0.7401969682805479,5.4044437,8.7794855,7,13
"It was her birthday, so he bought the red balloon for the child.",19,True,MC,It,was,her,"birthday,",so,he,bought,the,red,balloon,for,the,child.,,,,59,balloon,10,7.1251993,0.00080457266,14.909437,3.3489889e-07,0.7061287347637196,0.8786148706424235,5.4044437,8.7794855,7,13
The woman at the store was buying the red balloon for the child.,20,True,LC,The,woman,at,the,store,was,buying,the,red,balloon,for,the,child.,,,,59,balloon,10,8.212962,0.00027111644,13.588366,1.2550119e-06,0.8918436871520795,0.940424835911628,5.4044437,8.7794855,7,13
The hungry monkey was trying to peel the banana at breakfast.,21,True,HC,The,hungry,monkey,was,trying,to,peel,the,banana,at,breakfast.,,,,,,206,banana,9,3.8151374,0.022034686,15.981989,1.14580416e-07,0.5827513639040434,0.7731374793053256,5.411197,13.5701606,6,18
"Because of fruit flies, he threw away the banana at breakfast.",22,True,MC,Because,of,fruit,"flies,",he,threw,away,the,banana,at,breakfast.,,,,,,206,banana,9,5.760107,0.0031507744,16.36987,7.774207e-08,0.4031191457682862,0.7983713152368359,5.411197,13.5701606,6,18
My picky younger brother refused to eat the banana at breakfast.,23,True,LC,My,picky,younger,brother,refused,to,eat,the,banana,at,breakfast.,,,,,,206,banana,9,5.4217253,0.0044195154,15.04552,2.9228985e-07,0.6668180757563973,0.9190082526635244,5.411197,13.5701606,6,18
"Jenna loved playing the guitar, so she decided to join the band that she admired.",24,False,HC,Jenna,loved,playing,the,"guitar,",so,she,decided,to,join,the,band,that,she,admired.,,135,band,12,0.97443223,0.37740657,8.243759,0.00026289414,0.5159306214513495,0.833898073410367,4.2777104,9.2422835,4,11
On her eighteenth birthday her parents got her tickets see the band that she admired.,25,False,MC,On,her,eighteenth,birthday,her,parents,got,her,tickets,see,the,band,that,she,admired.,,135,band,12,5.1318846,0.005905421,11.605011,9.120272e-06,0.8295243091061345,0.9601285910863536,4.2777104,9.2422835,4,11
"After several rounds of auditions, she never heard back from the band that she admired.",26,False,LC,After,several,rounds,of,"auditions,",she,never,heard,back,from,the,band,that,she,admired.,,135,band,12,5.0991974,0.006101642,13.308863,1.6597182e-06,0.7704254236630863,0.9053749443591116,4.2777104,9.2422835,4,11
The neighborhood dog always kept her awake by barking through the night.,27,False,HC,The,neighborhood,dog,always,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9,3.220327,0.039942,9.757122,5.7880963e-05,0.4739483772041912,0.7418385537617085,5.8565116,10.324380399999999,7,17
Our pets sometimes ask us for treats by barking through the night.,28,False,MC,Our,pets,sometimes,ask,us,for,treats,by,barking,through,the,night.,,,,,51,barking,9,7.0898714,0.00083350454,14.688147,4.1784864e-07,0.6562241038731687,0.8217478679446071,5.8565116,10.324380399999999,7,17
They knew that Harry kept her awake by barking through the night.,29,False,LC,They,knew,that,Harry,kept,her,awake,by,barking,through,the,night.,,,,,51,barking,9,7.209519,0.00073951285,13.917691,9.028664e-07,0.7227040300447782,0.8672353026144735,5.8565116,10.324380399999999,7,17
"Instead of a shower, she decided to take a bath at home.",30,False,HC,Instead,of,a,"shower,",she,decided,to,take,a,bath,at,home.,,,,,37,bath,10,1.899764,0.14960393,8.384944,0.00022827856,0.3490812895879327,0.80395222740409,5.4326363,12.1225484,4,11
"To relax after work, Bill decided to take a bath at home.",31,False,MC,To,relax,after,"work,",Bill,decided,to,take,a,bath,at,home.,,,,,37,bath,10,4.86822,0.0076870373,11.361074,1.1639868e-05,0.674472346856335,0.8885418172913131,5.4326363,12.1225484,4,11
"That weekend, their interior decorator helped them install a bath at home.",32,False,LC,That,"weekend,",their,interior,decorator,helped,them,install,a,bath,at,home.,,,,,37,bath,10,7.7475467,0.00043180058,20.256979,1.5940642e-09,0.8139094878831987,0.8722120912454583,5.4326363,12.1225484,4,11
My son saw the bird pecking at the soil using its beak and claws.,33,True,HC,My,son,saw,the,bird,pecking,at,the,soil,using,its,beak,and,claws.,,,152,beak,12,6.027428,0.0024116884,17.147253,3.573079e-08,0.4558703381004575,0.8237726524244944,6.144817,14.1927779,4,13
The bald eagle was trying to attack the hunters using its beak and claws.,34,True,MC,The,bald,eagle,was,trying,to,attack,the,hunters,using,its,beak,and,claws.,,,152,beak,12,5.6994743,0.0033477247,13.324991,1.6331642e-06,0.6981432791634643,0.8688612695300867,6.144817,14.1927779,4,13
The animal in the zoo enclosure was trying to clean its beak and claws.,35,True,LC,The,animal,in,the,zoo,enclosure,was,trying,to,clean,its,beak,and,claws.,,,152,beak,12,7.748418,0.0004314246,18.653006,7.926886e-09,0.7630622299205787,0.8729171486858347,6.144817,14.1927779,4,13
I asked the maid to change the sheets on the bed in the guestroom.,36,True,HC,I,asked,the,maid,to,change,the,sheets,on,the,bed,in,the,guestroom.,,,100,bed,11,2.7398515,0.06457994,7.8815737,0.0003776383,0.7015908734086886,0.8223577956863648,4.625358,7.7107744,3,8
The chief of police found the suicide note on the bed in the guestroom.,37,True,MC,The,chief,of,police,found,the,suicide,note,on,the,bed,in,the,guestroom.,,,100,bed,11,3.936184,0.019522572,8.4860525,0.00020632612,0.8581584239824886,0.9784559365802918,4.625358,7.7107744,3,8
There was a large pile of dirty towels on the bed in the guestroom.,38,True,LC,There,was,a,large,pile,of,dirty,towels,on,the,bed,in,the,guestroom.,,,100,bed,11,3.5018706,0.030140948,7.5615892,0.0005200481,0.656182846476072,0.7838609224373043,4.625358,7.7107744,3,8
The honey was produced by a hive of bees in the yard.,39,False,HC,The,honey,was,produced,by,a,hive,of,bees,in,the,yard.,,,,,195,bees,9,1.076281,0.34086084,5.2215004,0.005399222,0.3398051089456549,0.5727976236773002,5.2500315,8.3354479,4,9
She is deathly allergic to those types of bees in the yard.,40,False,MC,She,is,deathly,allergic,to,those,types,of,bees,in,the,yard.,,,,,195,bees,9,7.6223383,0.00048939616,14.502079,5.033002e-07,0.6937921532461472,0.8178308647873865,5.2500315,8.3354479,4,9
The people outside were avoiding the group of bees in the yard.,41,False,LC,The,people,outside,were,avoiding,the,group,of,bees,in,the,yard.,,,,,195,bees,9,8.827527,0.00014664042,13.071366,2.1046396e-06,0.8398408515296467,0.9094465405082742,5.2500315,8.3354479,4,9
"To wash your clothes whiter, you should add a little bleach to the water.",42,False,HC,To,wash,your,clothes,"whiter,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11,4.17224,0.015417689,6.2171664,0.00199489,0.5185164279603106,0.7588653207257858,6.0665045,8.9593767,6,11
"To kill all the bacteria, you should add a little bleach to the water.",43,False,MC,To,kill,all,the,"bacteria,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11,4.7499037,0.008652529,6.4724803,0.0015453879,0.7345094945499395,0.8405522283580928,6.0665045,8.9593767,6,11
"To prepare the next sample, you should add a little bleach to the water.",44,False,LC,To,prepare,the,next,"sample,",you,should,add,a,little,bleach,to,the,water.,,,89,bleach,11,7.499689,0.00055325637,9.128359,0.00010854358,0.8479885332059245,0.9071641669130416,6.0665045,8.9593767,6,11
The murderer's knife and clothes were covered in blood from the killings.,45,False,HC,The,murderer's,knife,and,clothes,were,covered,in,blood,from,the,killings.,,,,,217,blood,9,0.8591086,0.42353946,4.980846,0.00686825,0.8437493749930555,0.8840565364654548,4.185667,7.886350499999999,5,12
The cafeteria in the prison was covered in blood from the killings.,46,False,MC,The,cafeteria,in,the,prison,was,covered,in,blood,from,the,killings.,,,,,217,blood,9,2.651269,0.07056162,7.164269,0.0007737444,0.9737805975621951,1.001517942791957,4.185667,7.886350499999999,5,12
The woman's counter and refrigerator were covered in blood from the killings.,47,False,LC,The,woman's,counter,and,refrigerator,were,covered,in,blood,from,the,killings.,,,,,217,blood,9,3.076948,0.04609974,7.5359077,0.0005335767,0.8923410260114002,0.9240368201003306,4.185667,7.886350499999999,5,12
My favorite part of Spring is when the flowers begin to bloom out back.,48,False,HC,My,favorite,part,of,Spring,is,when,the,flowers,begin,to,bloom,out,back.,,,175,bloom,12,1.4441332,0.23595051,16.73917,5.3736677e-08,0.3689693628784017,0.7499669274066283,5.7768474,12.8733921,5,13
The weather's been so nice that the plants have started to bloom out back.,49,False,MC,The,weather's,been,so,nice,that,the,plants,have,started,to,bloom,out,back.,,,175,bloom,12,1.8093443,0.16376148,16.097296,1.0210177e-07,0.4658808948855948,0.7837187950664766,5.7768474,12.8733921,5,13
We started watering the yard because the plants had begun to bloom out back.,50,False,LC,We,started,watering,the,yard,because,the,plants,had,begun,to,bloom,out,back.,,,175,bloom,12,2.6756606,0.06886132,16.926483,4.45576e-08,0.4658808948855948,0.762199106315355,5.7768474,12.8733921,5,13
"Following his orders, the terrorist threatened to drop the bomb made of TNT.",51,True,HC,Following,his,"orders,",the,terrorist,threatened,to,drop,the,bomb,made,of,TNT.,,,,65,bomb,10,1.5634397,0.2094145,13.68918,1.1346567e-06,0.4810072868595494,0.8036031694455281,4.6078677,9.3714099,4,10
"To destroy the building, they decided to use the bomb made of TNT.",52,True,MC,To,destroy,the,"building,",they,decided,to,use,the,bomb,made,of,TNT.,,,,65,bomb,10,5.791673,0.0030528698,15.200012,2.5044858e-07,0.6747290164034043,0.8662684438518031,4.6078677,9.3714099,4,10
Jonathan was shocked that they decided to use the bomb made of TNT.,53,True,LC,Jonathan,was,shocked,that,they,decided,to,use,the,bomb,made,of,TNT.,,,,65,bomb,10,6.84024,0.0010698466,17.895786,1.6902804e-08,0.8753803792686999,0.962631136366464,4.6078677,9.3714099,4,10
The author signed a copy of her new book at the bookstore.,54,True,HC,The,author,signed,a,copy,of,her,new,book,at,the,bookstore.,,,,,75,book,9,0.23550576,0.7901711,5.796961,0.00303677,0.344138789128499,0.661066344859502,3.8102062,7.4946111,4,9
The unsuccessful student went to buy a new book at the bookstore.,55,True,MC,The,unsuccessful,student,went,to,buy,a,new,book,at,the,bookstore.,,,,,75,book,9,5.824693,0.0029537103,10.766375,2.1097108e-05,0.830140316019101,0.89749716191155,3.8102062,7.4946111,4,9
The landlord who lived downstairs bought a new book at the bookstore.,56,True,LC,The,landlord,who,lived,downstairs,bought,a,new,book,at,the,bookstore.,,,,,75,book,9,7.6671357,0.00046795627,13.720164,1.1000396e-06,0.7868438301363146,0.915480028906216,3.8102062,7.4946111,4,9
The immigrant left Mexico and tried to cross the border into Texas.,57,False,HC,The,immigrant,left,Mexico,and,tried,to,cross,the,border,into,Texas.,,,,,151,border,10,0.45992133,0.6313333,8.025578,0.0003269911,0.6850884659927831,0.7779795973265908,4.2753234,12.151674800000002,6,16
There were lots of intimidating guards stationed at the border into Texas.,58,False,MC,There,were,lots,of,intimidating,guards,stationed,at,the,border,into,Texas.,,,,,151,border,10,4.590112,0.010151719,18.014122,1.5016413e-08,0.7627233372285608,0.8721317872567229,4.2753234,12.151674800000002,6,16
The kids were scared about trying to cross the border into Texas.,59,False,LC,The,kids,were,scared,about,trying,to,cross,the,border,into,Texas.,,,,,151,border,10,3.0145168,0.04906954,10.8753805,1.8918307e-05,0.6850884659927831,0.919974213043946,4.2753234,12.151674800000002,6,16
"Because the work was repetitive, he thought it was boring and dull.",60,False,HC,Because,the,work,was,"repetitive,",he,thought,it,was,boring,and,dull.,,,,,102,boring,10,6.212507,0.002004207,14.324827,6.0090605e-07,0.4535663729596995,0.6822986030707532,5.0797515,12.9935075,6,14
"He visited the museum, and he thought it was boring and dull.",61,False,MC,He,visited,the,"museum,",and,he,thought,it,was,boring,and,dull.,,,,,102,boring,10,7.4761887,0.0005664121,16.4039,7.514095e-08,0.7817411062057461,0.9220043104827496,5.0797515,12.9935075,6,14
"He visited the catacombs, and he thought it was boring and dull.",62,False,LC,He,visited,the,"catacombs,",and,he,thought,it,was,boring,and,dull.,,,,,102,boring,10,8.0482235,0.0003196693,17.825901,1.8126316e-08,0.7817411062057461,0.9066693220505618,5.0797515,12.9935075,6,14
The archer pulled back the string of his bow and fired.,63,True,HC,The,archer,pulled,back,the,string,of,his,bow,and,fired.,,,,,,162,bow,9,2.3431199,0.096027575,10.079756,4.1919655e-05,0.6441076011955689,0.7771026849998692,5.137674,12.1475245,3,12
"While facing the target, he picked up his bow and fired.",64,True,MC,While,facing,the,"target,",he,picked,up,his,bow,and,fired.,,,,,,162,bow,9,5.987284,0.002510473,13.066466,2.1149776e-06,0.8663896265514062,0.8998424406557868,5.137674,12.1475245,3,12
"On television, the Olympic athlete picked up his bow and fired.",65,True,LC,On,"television,",the,Olympic,athlete,picked,up,his,bow,and,fired.,,,,,,162,bow,9,6.7955055,0.0011187922,16.521906,6.677708e-08,0.9170552913982696,0.9715647364487088,5.137674,12.1475245,3,12
Jan poured the milk and cereal into her bowl at breakfast time.,66,True,HC,Jan,poured,the,milk,and,cereal,into,her,bowl,at,breakfast,time.,,,,,39,bowl,9,3.2026842,0.04065294,12.149977,5.2884957e-06,0.5987866531850354,0.7292661029566996,4.9061317,12.291416600000002,4,15
The waiter accidentally dropped her spoon and her bowl at breakfast time.,67,True,MC,The,waiter,accidentally,dropped,her,spoon,and,her,bowl,at,breakfast,time.,,,,,39,bowl,9,4.7295246,0.008830668,15.444798,1.9606914e-07,0.4195464394048823,0.7795074898458405,4.9061317,12.291416600000002,4,15
Jan was walking and she accidentally dropped her bowl at breakfast time.,68,True,LC,Jan,was,walking,and,she,accidentally,dropped,her,bowl,at,breakfast,time.,,,,,39,bowl,9,8.915081,0.00013434747,20.913456,8.268019e-10,0.8670291892132135,0.9629639213630224,4.9061317,12.291416600000002,4,15
"Instead of the accelerator, Maria stepped on the brake all of a sudden.",69,False,HC,Instead,of,the,"accelerator,",Maria,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9,4.592071,0.010131853,16.267982,8.608054e-08,0.713188368759653,0.8849791664351826,5.3382735,9.6583264,5,10
My passengers jumped when I stepped on the brake all of a sudden.,70,False,MC,My,passengers,jumped,when,I,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9,5.317037,0.004907272,16.6703,5.756797e-08,0.7917719085767619,0.844109971592277,5.3382735,9.6583264,5,10
We were surprised when Maria stepped on the brake all of a sudden.,71,False,LC,We,were,surprised,when,Maria,stepped,on,the,brake,all,of,a,sudden.,,,,16,brake,9,7.869182,0.00038234695,18.629206,8.117808e-09,0.7917719085767619,0.929526917230366,5.3382735,9.6583264,5,10
Laurence got some yeast to bake his own bread from scratch.,72,True,HC,Laurence,got,some,yeast,to,bake,his,own,bread,from,scratch.,,,,,,11,bread,9,2.1938019,0.11149206,11.084637,1.5346292e-05,0.4146458754703767,0.7492200861855643,4.947678,12.952069999999999,5,17
Laurence needed some advice before baking his own bread from scratch.,73,True,MC,Laurence,needed,some,advice,before,baking,his,own,bread,from,scratch.,,,,,,11,bread,9,3.0139065,0.049099497,8.75012,0.00015844229,0.3883638707096746,0.8253960599562218,4.947678,12.952069999999999,5,17
Laurence woke up early to make his own bread from scratch.,74,True,LC,Laurence,woke,up,early,to,make,his,own,bread,from,scratch.,,,,,,11,bread,9,5.4849386,0.0041487897,13.268431,1.7281991e-06,0.8098147757197303,0.9442868809272508,4.947678,12.952069999999999,5,17
They got a loan to start their own small business in Wichita.,75,False,HC,They,got,a,loan,to,start,their,own,small,business,in,Wichita.,,,,,105,business,10,0.9930335,0.3704512,13.583224,1.2614807e-06,0.6931052226252743,0.7745462086552408,3.704813,12.391345999999999,8,18
My roommate was hoping to build his own small business in Wichita.,76,False,MC,My,roommate,was,hoping,to,build,his,own,small,business,in,Wichita.,,,,,105,business,10,3.00244,0.049665738,16.043839,1.07708374e-07,0.6931052226252743,0.8860750603059839,3.704813,12.391345999999999,8,18
They needed some land to build their own small business in Wichita.,77,False,LC,They,needed,some,land,to,build,their,own,small,business,in,Wichita.,,,,,105,business,10,3.6454844,0.026108759,15.597914,1.6823337e-07,0.6931052226252743,0.8574115738259649,3.704813,12.391345999999999,8,18
The birthday boy didn't want frosting on his slice of cake after all.,78,True,HC,The,birthday,boy,didn't,want,frosting,on,his,slice,of,cake,after,all.,,,,20,cake,11,0.6070651,0.5449479,8.538235,0.00019583566,0.3093335057797152,0.7075980919977467,5.0383496,12.1716543,4,13
The hungry student decided to buy a small piece of cake after all.,79,True,MC,The,hungry,student,decided,to,buy,a,small,piece,of,cake,after,all.,,,,20,cake,11,3.5772626,0.027952109,13.834879,9.80818e-07,0.7682582367331523,0.8750172364988961,5.0383496,12.1716543,4,13
My wife said that she didn't like that kind of cake after all.,80,True,LC,My,wife,said,that,she,didn't,like,that,kind,of,cake,after,all.,,,,20,cake,11,7.2298613,0.0007246214,16.174435,9.4521866e-08,0.8808133158842437,0.9438692736608632,5.0383496,12.1716543,4,13
The cow gave birth to the brown calf in the barn.,81,False,HC,The,cow,gave,birth,to,the,brown,calf,in,the,barn.,,,,,,157,calf,8,3.1294732,0.043740835,7.2801213,0.00068910193,0.5055549506105623,0.7438319755184368,5.5864334,8.6718498,4,9
The farmer gave milk to the brown calf in the barn.,82,False,MC,The,farmer,gave,milk,to,the,brown,calf,in,the,barn.,,,,,,157,calf,8,5.6882424,0.003385538,10.271962,3.4589437e-05,0.754984833164813,0.8113759538852603,5.5864334,8.6718498,4,9
Bill went to check on the brown calf in the barn.,83,False,LC,Bill,went,to,check,on,the,brown,calf,in,the,barn.,,,,,,157,calf,8,9.218027,9.9234276e-05,13.250716,1.759086e-06,0.7786433182590917,0.9359241769352992,5.5864334,8.6718498,4,9
The boy scouts hurried back to set up camp after the storm lifted.,84,False,HC,The,boy,scouts,hurried,back,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9,2.0300527,0.1313286,7.624203,0.00048848434,0.5711601240013778,0.8340030846601371,4.422398,8.6779475,4,12
The cheerful woman hurried over to set up camp after the storm lifted.,85,False,MC,The,cheerful,woman,hurried,over,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9,5.5997443,0.0036988093,13.504835,1.3643463e-06,0.9403664418900696,0.9925223597030643,4.422398,8.6779475,4,12
We watched my nephew try to set up camp after the storm lifted.,86,False,LC,We,watched,my,nephew,try,to,set,up,camp,after,the,storm,lifted.,,,,98,camp,9,6.519945,0.00147375,14.066667,7.77901e-07,0.9403664418900696,0.9839531533785496,4.422398,8.6779475,4,12
"On Halloween, the costumed children grabbed several pieces of candy with nuts.",87,False,HC,On,"Halloween,",the,costumed,children,grabbed,several,pieces,of,candy,with,nuts.,,,,,158,candy,10,1.1751919,0.30875972,16.949247,4.355474e-08,0.6361430682563141,0.8154520572642573,5.2244973,13.1766256,5,14
"While touring the factory, Bill sampled several pieces of candy with nuts.",88,False,MC,While,touring,the,"factory,",Bill,sampled,several,pieces,of,candy,with,nuts.,,,,,158,candy,10,6.8130426,0.001099343,25.249266,1.0823887e-11,0.7740952677251969,0.9086101697426268,5.2244973,13.1766256,5,14
The food scientists were developing a new type of candy with nuts.,89,False,LC,The,food,scientists,were,developing,a,new,type,of,candy,with,nuts.,,,,,158,candy,10,7.993227,0.00033774241,22.86574,1.1736413e-10,0.6634629273658597,0.8951363884540374,5.2244973,13.1766256,5,14
The cashier asked the customer to swipe his card once again.,90,False,HC,The,cashier,asked,the,customer,to,swipe,his,card,once,again.,,,,,,107,card,9,1.7962766,0.16591552,10.734391,2.1782771e-05,0.6468360759563996,0.7514020155779508,4.147804,11.925103499999999,4,14
Johnathan told the banker that he'd lost his card once again.,91,False,MC,Johnathan,told,the,banker,that,he'd,lost,his,card,once,again.,,,,,,107,card,9,7.87683,0.0003794339,19.469574,3.5032526e-09,0.7873945266058512,0.9382302470027444,4.147804,11.925103499999999,4,14
"At security, the guards needed to inspect his card once again.",92,False,LC,At,"security,",the,guards,needed,to,inspect,his,card,once,again.,,,,,,107,card,9,7.5562325,0.00052284135,18.41757,1.0031155e-08,0.8093801042233802,0.923621929132546,4.147804,11.925103499999999,4,14
"In the cartoon, Bugs Bunny was munching on a carrot that looked wilted.",93,True,HC,In,the,"cartoon,",Bugs,Bunny,was,munching,on,a,carrot,that,looked,wilted.,,,,55,carrot,10,4.332861,0.01312993,11.417767,1.0998336e-05,0.7397206635629285,0.8446827186968744,5.7498302,11.675707899999999,6,16
The cook was chopping up the parsley and a carrot that looked wilted.,94,True,MC,The,cook,was,chopping,up,the,parsley,and,a,carrot,that,looked,wilted.,,,,55,carrot,10,6.404371,0.0016543109,15.070117,2.8518807e-07,0.3649031655907288,0.565070426708445,5.7498302,11.675707899999999,6,16
In the door of his refrigerator he found a carrot that looked wilted.,95,True,LC,In,the,door,of,his,refrigerator,he,found,a,carrot,that,looked,wilted.,,,,55,carrot,10,9.017803,0.00012123216,14.68478,4.1925767e-07,0.805135146516643,0.90586798390853,5.7498302,11.675707899999999,6,16
"At Costco, the toddler wanted to push the cart near the tall shelves.",96,False,HC,At,"Costco,",the,toddler,wanted,to,push,the,cart,near,the,tall,shelves.,,,,30,cart,9,4.9375777,0.00717195,14.281137,6.2774143e-07,0.745627395859954,0.8280389742064214,5.375628,10.481581799999999,4,11
The grocery store employee had to retrieve the cart near the tall shelves.,97,False,MC,The,grocery,store,employee,had,to,retrieve,the,cart,near,the,tall,shelves.,,,,30,cart,9,6.11854,0.0022016685,15.657878,1.5844189e-07,0.5793446593851043,0.7004381052017017,5.375628,10.481581799999999,4,11
"At work, the assistant needed to find the cart near the tall shelves.",98,False,LC,At,"work,",the,assistant,needed,to,find,the,cart,near,the,tall,shelves.,,,,30,cart,9,9.742474,5.873507e-05,17.850403,1.7687585e-08,0.8541050456116179,0.903331091568716,5.375628,10.481581799999999,4,11
The biologist knew that there were bats living in the cave in the woods.,99,False,HC,The,biologist,knew,that,there,were,bats,living,in,the,cave,in,the,woods.,,,79,cave,11,5.2082357,0.005471318,10.292239,3.3895132e-05,0.729333881487572,0.8198033311481239,5.1729417,8.2583581,4,9
The biologist knew that there were bears living in the cave in the woods.,100,False,MC,The,biologist,knew,that,there,were,bears,living,in,the,cave,in,the,woods.,,,79,cave,11,6.1086597,0.002223529,11.174695,1.4024637e-05,0.7858282869809665,0.8410281225346948,5.1729417,8.2583581,4,9
The police knew that there were people living in the cave in the woods.,101,False,LC,The,police,knew,that,there,were,people,living,in,the,cave,in,the,woods.,,,79,cave,11,7.820032,0.0004016088,12.438064,3.9647666e-06,0.7858282869809665,0.9304444493827708,5.1729417,8.2583581,4,9
