Cloze,Sentence,Question,Right,Wrong,Item
L,The store always charged too much for a gallon apparently.,,,,118
L,Melissa has difficulty when she's picking a type of coffee at the restaurant.,,,,119
L,For her project she bought lots of black leather and tough fabric.,,,,120
L,My supervisor and coworkers have never seen me laugh at work.,,,,121
L,While cleaning out the cluttered closet Helen found both of the dice last night.,,,,122
L,He doesn't run very often because he hates getting wet outside.,,,,123
L,When she moved away my girlfriend sold the black dress with sequins.,,,,124
L,The new factory produced a large amount of wool that was very warm.,,,,125
L,People always notice when I laugh or sneeze around other people.,,,,126
L,The investment banker was supposed to meet his client at a nice hotel in town.,,,,127
L,She didn't want to make a judgement based on the first kiss on the lips.,,,,128
L,She had to be interviewed by the lawyer and the doctor at the clinic.,,,,129
L,The museum display had some pictures of a giant squid with long tentacles.,,,,130
L,After several rounds of auditions she never heard back from the band that she admired.,,,,131
L,Over at the loading dock they needed a long hose with an attachment.,,,,132
L,He knew that it was important to have a goal during the game.,,,,133
L,He forgot to stock up on that type of soap yesterday.,,,,134
L,At the flea market in Sacramento he bought a small metal spoon with a long handle.,,,,135
L,Before the party they bought a large pumpkin at the Farmer's market.,,,,136
L,After finishing up at the store they went to the library down the street.,,,,137
L,Watson gathered up all the leaves in front of his condo.,,,,138
L,The child carried the black rubber gloves in the hospital.,,,,139
L,In his textbook there's a drawing of a cell in a living organism.,,,,140
L,The drinks that they didn't finish made a big puddle on the floor.,,,,141
L,At the end of the day her clothes were covered with flour from the store.,,,,142
L,The girl was planning to buy some more eggs after sunrise.,,,,143
L,None of the man's coworkers had a single match which was surprising.,,,,144
H,Because he loved to work the land Jim became a farmer in his hometown.,What job did Jim choose?,farmer,surgeon,145
H,To display the beautiful photo she ordered an elegant frame made of silver.,What did she order?,frame,painting,146
H,The immigrant left Mexico and tried to cross the border into Texas.,Which border was he crossing?,Mexican,Canadian,147
H,My son saw the bird pecking at the soil using its beak and claws.,What kind of animal was it?,bird,badger,148
H,He was very thirsty and needed something to drink at the bar.,What did he want to do?,drink,eat,149
H,The hikers climbed to the summit of the mountain in the Adirondacks.,Were they in the Adirondacks?,yes,no,150
H,Everett lit the campfire while I pitched the tent near the woods.,Were they going to sleep in a hotel?,no,yes,151
H,The city lies between two hills in a valley somewhere in Colorado.,Where was the valley?,Colorado,Montana,152
H,The cow gave birth to the brown calf in the barn.,Where was the calf?,the barn,the field,153
H,On Halloween the costumed children grabbed several pieces of candy with nuts.,Were they grabbing something sweet?,yes,no,154
H,The heroin addict died of an overdose in the motel room.,Where did it happen?,motel room,storage room,155
H,Before the show the sick opera singer suddenly lost her voice and couldn't speak.,What did she lose?,her voice,her courage,156
H,The store reduced their prices during the annual sale which always attracted customers.,How often did the sale happen?,every year,every week,157
H,The archer pulled back the string of his bow and fired.,Was the athlete a professional runner?,no,yes,158
H,A boa constrictor is a very dangerous type of snake in the jungle.,,,,159
H,At the bar the man sat on a stool in the corner.,,,,160
H,When the earthquake began the whole building started shaking all of a sudden.,,,,161
H,My sister enjoys poetry painting and other forms of art from the past.,,,,162
H,After hours of brainstorming they had run out of ideas to solve the problem.,,,,163
H,The diabetic lady needed to inject some insulin to control her blood sugar.,,,,164
H,Jesus was crucified on a large wooden cross made of oak.,,,,165
H,To record some high school memories he had everyone sign his yearbook after graduation.,,,,166
H,They stored all of the Halloween decorations up in the attic at home.,,,,167
H,After the goose injured its wing it could no longer fly or move around.,,,,168
H,The boy scout navigated using a map and a compass in his bag.,,,,169
H,They didn't have a puck or skates so they couldn't play hockey at school.,,,,170
H,My favorite part of Spring is when the flowers begin to bloom out back.,,,,171
H,In polluted cities you can barely breathe the air outside.,,,,172
H,To prevent a mess the caregiver checked the baby's diaper for accidents.,,,,173
H,Apples are definitely his favorite type of fruit as well.,,,,174
H,At the sawmill they slice logs into long planks of wood with smooth edges.,,,,175
H,The bird typically used to symbolize peace is a white dove with outstretched wings.,,,,176
H,The editor who hates Times New Roman decided to switch the font of the magazine.,,,,177
H,Driving in the countryside I could only hear static on the radio that evening.,,,,178
H,The sailors saw a single palm tree in the center of the island in Bermuda.,,,,179
H,Because they are nocturnal creatures all bats hunt at night in the city.,,,,180
H,Pam received a rose but preferred any other species of flower according to Alan.,,,,181
H,Merlin needed his magic wand to cast the spell for some reason.,,,,182
H,It's easy to spot a zebra because of its stripes and markings.,,,,183
H,Eric comforted his tearful son and sang him to sleep after all the commotion.,,,,184
H,When exiting the highway they had trouble reading the small sign in the distance.,,,,185
H,We had to guess heads or tails when the referee flipped the coin in Dallas.,,,,186
H,The angry visitor said hello but he refused to shake my hand at the office.,,,,187
H,The kids had lots of cavities because they drank soda all the time.,,,,188
H,She couldn't get the thread through the eye of the needle while quilting.,,,,189
H,The soprano auditioned for the church choir in the evening.,,,,190
H,The honey was produced by a hive of bees in the yard.,,,,191
H,The teacher walked up to the board and grabbed a piece of chalk during class.,,,,192
H,In Santa's workshop the toys are made by the elves on Christmas Eve.,,,,193
H,Not using sunscreen at the beach can damage your skin quite badly.,,,,194
H,To make the cake sweet he added some more sugar and cinnamon.,,,,195
H,Long before he saw the ambulance's lights he heard the siren off in the distance.,,,,196
H,The warrior blocked the spear thrust with his large wooden shield covered in spikes.,,,,197
H,For my mother's birthday we threw a huge party that made the neighbors angry.,,,,198
H,Eric sued the taxi driver and took him to court on Tuesday.,,,,199
H,At two o'clock the British family always has crumpets and tea on the back porch.,,,,200
H,Before meeting Brad she put on black eyeliner and some red lipstick that looked nice.,,,,201
H,The hungry monkey was trying to peel the banana at breakfast.,,,,202
H,Before laying its eggs the robin had to build a nest made of twigs.,,,,203
H,After the body was discovered our neighbor was arrested for murder and arson.,,,,204
H,On the queen's head the priest placed a golden crown with bright jewels.,,,,205
H,The soldier decided to quit the army after school.,,,,206
H,Of all the animals the giraffe is known for its long neck and distinctive colors.,,,,207
H,She's locked out because she forgot to take her keys with her.,,,,208
H,The checkmate abruptly ended their game of chess at Victor's house.,,,,209
H,The king died because the assassin filled his cup with poison last night.,,,,210
H,The collector's most valuable coins were made of silver and gold from India.,,,,211
H,She puckered her lips because the lemon was too sour and tangy.,,,,212
H,The murderer's knife and clothes were covered in blood from the killings.,,,,213
H,He liked to study in the library because it was very quiet and peaceful.,,,,214
H,The fisherman attached the worm to the hook with the sharp point.,,,,215
H,The hopeful girl wished upon a star up in the sky. ,,,,216
